id,name,dutch_name
573,Aramides cajaneus,Cayennebosral
574,Bubulcus ibis,Koereiger
575,Butorides virescens,Groene reiger
576,Porphyrio martinicus,Amerikaans purperhoen
577,Botaurus lentiginosus,Noord-Amerikaanse roerdomp
578,Cochlearius cochlearius,Schuitbekreiger
579,Anhinga novaehollandiae,Australische slangenhalsvogel
580,Anhinga rufa,Afrikaanse slangenhalsvogel
581,Melozone fusca,Bruine towie
582,Aquila chrysaetos,Steenarend
583,Hylocichla mustelina,Amerikaanse boslijster
584,Aphelocoma wollweberi,Noord-Mexicaanse gaai
585,Accipiter striatus,Amerikaanse sperwer
586,Accipiter nisus,Sperwer (vogel)
587,Accipiter gentilis,Havik (vogel)
588,Egretta rufescens,Roodhalsreiger
589,Bucephala clangula,Brilduiker
590,Anous stolidus,Noddy
591,Actitis macularius,Amerikaanse oeverloper
592,Ardea purpurea,Purperreiger
593,Todiramphus chloris,Witkraagijsvogel
594,Grus americana,Trompetkraanvogel
595,Himantopus himantopus,Steltkluut
596,Glaucidium gnoma,Bergdwerguil
597,Circus approximans,Pacifische bruine kiekendief
598,Circus aeruginosus,Bruine kiekendief
599,Phalacrocorax sulcirostris,Zwarte aalscholver
600,Buteo albonotatus,Bandstaartbuizerd
601,Butorides striata,Mangrovereiger
602,Platalea ajaja,Rode lepelaar
603,Buteo brachyurus,Kortstaartbuizerd
604,Ardea alba,Grote zilverreiger
605,Buteo swainsoni,Prairiebuizerd
606,Alectoris rufa,Rode patrijs
607,Buteo lineatus,Roodschouderbuizerd
608,Buteo jamaicensis,Roodstaartbuizerd
609,Charadrius nivosus,Amerikaanse strandplevier
610,Tringa incana,Amerikaanse grijze ruiter
611,Tringa semipalmata,Willet
612,Terathopius ecaudatus,Bateleur
613,Gallinago delicata,Amerikaanse watersnip
614,Buteogallus anthracinus,Zwarte buizerd
615,Chroicocephalus philadelphia,Kleine kokmeeuw
616,Circaetus gallicus,Slangenarend
617,Chroicocephalus novaehollandiae,Witkopmeeuw
618,Chroicocephalus ridibundus,Kokmeeuw
619,Leucophaeus atricilla,Lachmeeuw
620,Leucophaeus pipixcan,Franklins meeuw
621,Onychoprion fuscatus,Bonte stern
622,Sternula antillarum,Amerikaanse dwergstern
623,Hydroprogne caspia,Reuzenstern
624,Thalasseus maximus,Koningsstern
625,Thalasseus bergii,Grote kuifstern
626,Elanus leucurus,Amerikaanse grijze wouw
627,Alopochen aegyptiaca,Nijlgans
628,Streptopelia senegalensis,Palmtortel
629,Gerygone igata,Maorimangrovezanger
630,Haliaeetus leucocephalus,Amerikaanse zeearend
631,Cistothorus platensis,Graswinterkoning
632,Haliaeetus vocifer,Afrikaanse zeearend
633,Bubo scandiacus,Sneeuwuil
634,Ciccaba virgata,404
635,Bonasa umbellus,Kraaghoen
636,Busarellus nigricollis,Moerasbuizerd
637,Rostrhamus sociabilis,Slakkenwouw
638,Milvus milvus,Rode wouw
639,Gyps fulvus,Vale gier
640,Ficedula hypoleuca,Bonte vliegenvanger
641,Momotus coeruliceps,Blauwkruinmotmot
642,Charadrius semipalmatus,Amerikaanse bontbekplevier
643,Haliastur indus,Brahmaanse wouw
644,Gyps africanus,Witruggier
645,Ictinia mississippiensis,Mississippiwouw
646,Dives dives,Rouwtroepiaal
